date,count,uniques
2026-07-11,6,3
2026-07-12,5,4
2026-07-13,9,6
2026-07-14,10,7
2026-07-15,6,4
2026-07-16,4,3
2026-07-17,7,4
2026-07-18,0,0
2026-07-19,5,2
2026-07-20,10,7
2026-07-21,13,6
2026-07-22,10,5
2026-07-23,7,6
2026-07-24,2,2
2026-07-25,18,12
2026-07-26,27,18
2026-07-27,11,8
2026-07-28,5,4
2026-07-29,23,13
2026-07-30,19,8
2026-07-31,12,8
2026-08-01,8,6
2026-08-02,15,8
2026-08-03,17,6
2026-08-04,15,8
2026-08-05,21,11
2026-08-06,17,8
2026-08-07,10,5
2026-08-08,18,13
2026-08-09,4,4
2026-08-10,12,8
2026-08-11,25,13
2026-08-12,11,9
2026-08-13,15,9
2026-08-14,13,9
